Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,processed_text,processed_text_no_lexnorm
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0,user awaasss jangan berita akh gerung ntar susah nyari kosakatany bcr micingin bibir monyong samping suara ky nhn kentut politik kotor skl jmn brt plng ky nhn ngeden bodoh xf xf xb,user awaasss jgn sampe berita sampe akh gerung ntar susah nyari kosakatany klu bcr aja micingin bibir monyong samping suara ky lg nhn kentut politik kotor skl jmn klu brt plng ky nhn ngeden dungu xf xf xb
pinokio umur 3 taonan tuh. #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,pinokio umur taonan,pinokio umur taonan tuh
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",0,0,0,0,0,0,0,0,0,0,0,0,user cerita silat lae xf xf kho ping hoo indonesia liang ie shen tulis china,user cerita silat lae xf xf kho ping hoo indonesia liang ie shen tulis china
RT USER benci sekali dgn Umat Islam,1,0,0,1,1,0,0,0,0,0,1,0,retweet user benci umat islam,rt user benci dgn umat islam
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",1,1,1,0,0,1,0,0,0,1,0,0,user user user provokasi mayat politisasi agama sebab kalah pilkada dki cebong deskripsi kalah junjung informasi ahog belum pilih apa kec wakil etnis mayorita,user user user provokasi mayat politisasi agama sebab kalah pilkada dki cebong deskripsi kalah junjung fyi ahog blm pilih apa kec jd wakil etnis mayorita
USER dari pada gua nete',0,1,0,0,0,0,0,0,0,0,0,0,user nete,user gua nete
USER Lol bani lowo',1,1,0,1,0,0,0,0,1,0,1,0,user tertawa bani lowo,user lol bani lowo
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",0,0,0,0,0,0,0,0,0,0,0,0,takabur lahir kuasa rakyat ulama cendikia iblis mahluq alim ibadah atus th laknat hasud takabburnya ahli ilmu filsafat tidak failosof mari demo sendi,takabur lahir kuasa rakyat ulama cendikia iblis mahluq yg alim amp ibadah atus th laknat krn hasud takabburnya ahli ilmu filsafat yg tdk failosof mari demo sendi
"A orang yang suka ke konser-konser, sedikit boros.",0,0,0,0,0,0,0,0,0,0,0,0,suka konser konser boros,suka konser konser boros
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,0,0,0,0,0,0,0,0,0,0,0,0,makan racun ulama hukum rokok mubah juga,makan racun ulama hukum rokok mubah juga
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,0,0,0,0,0,0,0,0,0,0,0,0,susilo bambang yudhoyono presiden ri khofifah emil masyarakat no baguss,susilo bambang yudhoyono presiden ri khofifah emil masyarakat no baguss
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",1,1,1,0,0,0,0,1,0,1,0,0,user kpoper ngomonv teman idol banci homo,user udah gue kpoper kalo ngomonv temen gue idol gua banci homo
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',0,0,0,0,0,0,0,0,0,0,0,0,suka video user url kisah seteru haji bolot malih tongtong,suka video user url kisah seteru haji bolot amp malih tongtong
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",0,0,0,0,0,0,0,0,0,0,0,0,budaya kafir sungguh islam tidak diendahkan,budaya kafir sungguh klau islam tidak diendahkan
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",0,0,0,0,0,0,0,0,0,0,0,0,user user user user xf xf xe xb la la la hm hmm xf xf xe xa diam bisu coba rumput goyang xe xab xe xab xe xab xe xaa xe xaa xe xaa,user user user user xf xf xe xb la la la hm hmm xf xf xe xa diam bisu coba rumput yg goyang xe xab xe xab xe xab xe xaa xe xaa xe xaa
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",0,0,0,0,0,0,0,0,0,0,0,0,setan bisik was was kepada minta lindung allah qs al xe xraf fushilat,setan bisik was was kepada minta lindung allah qs al xe xraf fushilat
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,0,0,0,0,0,0,0,0,0,0,0,0,user user user user user user user klw ente atheis ngapain sibuk agama,user user user user user user user klw ente atheis ngapain sibuk dgn agama
Lengserkan Jokowi Bangsat!!,1,1,1,0,0,0,0,0,1,0,0,1,lengser jokowi bangsat,lengser jokowi bangsat
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,0,0,0,0,0,0,0,0,0,0,0,0,user selamat kartini,user selamat kartini
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",1,1,1,0,0,0,0,1,0,1,0,0,retweet user bajing homo nhati anak kamar mandi laki jangan biar url,rt user bajing homo nhati anak kamar mandi laki jgn biar url
USER Iya cocot',1,1,1,0,0,0,0,0,1,1,0,0,user iya cocot,user iya cocot
USER karena budaya indonesia.,0,0,0,0,0,0,0,0,0,0,0,0,user budaya indonesia,user budaya indonesia
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",0,0,0,0,0,0,0,0,0,0,0,0,user ngajarin solat ajah aseng pecah belah islam,user ngajarin solat ajah aseng pecah belah islam
USER x || Lo ngomong aja kaga bener bangke',1,1,1,0,0,0,0,0,1,1,0,0,user bicara tidak bangke,user lo ngomong aja kaga bener bangke
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,0,0,0,0,0,0,0,0,0,0,0,user user tidak percaya negara suatu jajah rana kespembubaran sistem beraja negara jadi negara republik komunis negara jaja,user user tidak percaya yg negara suatu jajah rana kespembubaran sistem beraja negara jadi negara republik komunis negara jaja
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,1,0,0,1,0,1,0,0,0,0,1,0,nikmat bijak usul pki lha yo opo,nikmat bijak usul pki lha yo opo
Kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0,umpama cina usir paksa indonesia,kalo umpama cina usir paksa indonesia gimana
USER bunda ngentot yuk',0,1,0,0,0,0,0,0,0,0,0,0,user bunda ngentot yuk,user bunda ngentot yuk
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,retweet user china babi china maling,rt user china babi china maling
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",0,0,0,0,0,0,0,0,0,0,0,0,karno anti asing beliau jawa coba deh adain konsensus jawa anti asing pro asing kebo ohannya nkalau keliru tutup akun,karno anti asing beliau jawa coba deh adain konsensus jawa anti asing pro asing kebo ohannya nkalau keliru tutup akun
PROYEK KORUPSI REZIM SBY URL,1,0,1,0,0,0,0,0,1,1,0,0,proyek korupsi rezim sby url,proyek korupsi rezim sby url
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",0,0,0,0,0,0,0,0,0,0,0,0,user wajar tingkah bbrp petinggi negeri suka campur bhs indonesia bhs asing bicara,user wajar tingkah bbrp petinggi negeri yg suka campur bhs indonesia dgn bhs asing bicara
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0,ab pribadi senang kompetisi positif,ab pribadi yg senang kompetisi positif
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0,user user kitab suci agama om user,user user lo kitab suci agama yg bilang om user
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',0,0,0,0,0,0,0,0,0,0,0,0,user suka nutup tidak tutup tutup gara sipit,user suka nutup kaga tutup udah tutup gara sipit
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",0,0,0,0,0,0,0,0,0,0,0,0,user muslim tidak user nista kitab suci alqur an alqur an sndri bbrp suku smpai dtik belum mkna faktual olh umat islam yakin makna sirat fiksi belum,user sy sbg muslim tdk user nista kitab suci alqur an krn dlm alqur an sndri bbrp suku yg smpai dtik blm mkna faktual olh umat islam tp yakin tsb makna yg sirat fiksi yg blm
USER eh kasar kau kampang',1,1,1,0,0,0,0,0,1,1,0,0,user eh kasar kampang,user eh kasar kau kampang
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",0,0,0,0,0,0,0,0,0,0,0,0,bentar rilis album the onta wkwkwkwkwk,bentar gua rilis album the onta wkwkwkwkwk
USER Ada cebong bang dia merasa paling benar',1,1,1,0,0,0,0,0,1,1,0,0,user cebong abang,user cebong bang
Najis banget gw ngetwit apa barusan wey',0,1,0,0,0,0,0,0,0,0,0,0,najis ngetwit barusan wey,najis banget gw ngetwit barusan wey
Kamu transgender atau gmn anjing :( URL,1,1,1,0,0,0,0,1,0,1,0,0,transgender anjing url,transgender gmn anjing url
USER awas bintitan lu ngintipin titit kucing',0,1,0,0,0,0,0,0,0,0,0,0,user awas bintit ngintipin titit kucing,user awas bintit lu ngintipin titit kucing
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",0,1,0,0,0,0,0,0,0,0,0,0,user user bawel bawa asa bolot bodor gaje tertawa deh,user user bawel baper bolot bodor gaje wkwk udah aja deh
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",1,1,1,0,1,0,0,0,0,1,0,0,user user user user saranin tidak bacot maling ayat to the point tidak paham teriakin kafir sesat liberal puja dukun bla blaaa hati puas dehh,user user user user gue saranin gk bnyk bacot maling ayat to the point aja lu yg tdk paham lu teriakin aja kafir sesat liberal puja dukun bla blaaa hati puas dehh
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,1,0,1,0,0,0,0,0,1,0,0,1,jangan salah target bukan ahok agenda utama lengser jokowi,jgn salah target bkn ahok agenda utama lengser jokowi
